6,[2103314.0794357737, 2011056.8201525824, 1883498.9647532585, 1880957.7911291, 1876137.4156142357, 1872611.5716339936, 1866211.2503004263, 1859643.393450274, 1824815.0095808918, 1823486.0788008336, 1734749.8041243313, 1578710.8233308925, 1475524.3072705658, 1280102.0028884504, 1277903.4740765088],11.791411581625864
7,[6113411.190141849, 6017375.476190899, 5974105.5432902975, 5904666.149602192, 5673547.124515585, 5618100.118653619, 5608688.487494021, 5236226.850636192, 5228932.150904537, 5171023.879654701, 4858013.632801161, 4836243.986770679, 4433647.639906432, 3982046.208786607, 3975028.208786607],11.966951484523587
8,[5808885.797934734, 5729391.748972887, 5625345.757616816, 5565522.206757437, 5519282.929933169, 5328238.45624756, 5318857.99681108, 5253827.015905443, 4928327.583556862, 4921368.312358689, 4629953.514970562, 4602673.07259232, 4189440.5799590605, 4164191.1715533114, 4148861.580223421],12.200217495272469
9,[2390928.7464130665, 2336700.7693775175, 2310495.1565881195, 2288394.457349696, 2120004.2277066885, 2099505.3160193767, 2085420.3616444203, 2014481.2372088039, 1984548.7161525225, 1962665.246754359, 1959050.3930703003, 1957595.8513687563, 1833954.7165711203, 1830910.082245136, 1817522.4217650802],12.1094177222043
10,[1449179.5781560584, 1412734.0486722884, 1397326.7532262048, 1384950.019821988, 1303886.0762263024, 1291395.0281972147, 1284114.6818133662, 1267228.0081450571, 1226333.3420316577, 1212257.7576788345, 1210184.7402608274, 1209072.5301449047, 1137881.101196727, 1130890.5632607776, 1129277.067877949],12.300175652754946
11,[1413167.0334436023, 1378854.5833573188, 1365844.4055831898, 1351512.5879671525, 1269768.9227839739, 1262154.672244292, 1241842.8851208128, 1200000.4476122602, 1183942.6216179712, 1181963.6691592315, 1164611.8304740342, 1163538.2716194538, 1161953.837889878, 1089814.567791237, 1082675.4578688308],12.243832193411034
12,[1587886.9471573336, 1547699.8032586386, 1533083.1689391383, 1515801.7908405846, 1507171.8744303696, 1417164.9554972306, 1400440.0807673847, 1354424.2318890027, 1332600.672503312, 1330292.8045044432, 1309633.4266065408, 1307740.2723177325, 1225826.8545545312, 1224561.6873995108, 1216672.957194864],12.224744445739734
13,[1521056.6507039552, 1481042.5164237793, 1463980.409783054, 1449414.1694603371, 1441088.7645792568, 1424922.9196814424, 1324639.9687760312, 1319330.511293498, 1277120.0549483586, 1275111.2008350359, 1255461.7002990132, 1242868.788192565, 1162216.6076227706, 1161323.1313312063, 1154426.4835506815],12.200828681224205
14,[1571183.715281256, 1530524.6045857738, 1514669.1128487857, 1501414.2577962934, 1493394.6110759608, 1476940.1816241622, 1391415.31951251, 1379046.119864582, 1337202.3551549541, 1254462.9201672154, 1252619.6942953563, 1240621.519928363, 1226870.1514909582, 1133158.9093179547, 1132025.9457726248],12.149459854779215
15,[1912409.1790606782, 1865743.4355235898, 1850063.9561373335, 1832290.3182180573, 1822884.819423074, 1717732.8212729564, 1702334.8128191682, 1648988.6987400465, 1627870.7774989777, 1624590.2175961519, 1621944.096811628, 1521713.3815712943, 1509132.6552008134, 1507981.8890583743, 1392126.376844737],12.328233741228047
16,[2672327.6874347297, 2614655.167545435, 2458375.771694438, 2445384.590761749, 2427716.6279495717, 2403386.321704937, 2389377.3434653473, 2310763.1348302355, 2306501.2687171856, 2277617.4600312947, 2274385.192884148, 2252405.719775589, 2249809.0444303835, 2123287.354267306, 2112978.773678427],12.417836308029948
17,[4996635.33382752, 4916932.399337963, 4855298.285485148, 4807775.672452601, 4774536.827672575, 4603512.537418149, 4596634.144016302, 4332756.716713839, 4326527.332133556, 4300382.33974322, 4027265.0624777307, 3972485.057663326, 3947706.243888919, 3944681.6211657203, 3670878.311020047],12.362771713294764
18,[4267799.611058741, 4204742.073887901, 4123469.9467468527, 4078207.6682640365, 4041723.0764220287, 3891344.0340841343, 3885439.441077184, 3880440.5992893307, 3628108.948099369, 3574936.5746725667, 3367818.157776893, 3344318.8454967164, 3097673.3424186064, 3060455.0732321334, 2931128.7464046627],12.025504844162471
19,[1878595.2934276399, 1850855.5812187158, 1816384.429945658, 1796534.8959716808, 1783019.6205174504, 1714547.494344164, 1711982.9433934342, 1690078.0487629867, 1687754.907204081, 1581015.0967418626, 1467989.2277737719, 1462073.6918931885, 1443679.9839466664, 1380402.2682380772, 1275160.6447773487],12.104615390156484
20,[1517754.3602381598, 1477750.5990441183, 1461720.0672854548, 1441825.288156912, 1431771.8635957357, 1414979.4879244922, 1363652.9927666336, 1362097.2247323273, 1360297.5411932035, 1274968.8674318474, 1259840.0395580532, 1169816.0768932318, 1164392.6379499845, 1080444.9139261383, 1067244.668399778],12.176632679487152
21,[1219169.3409621164, 1177464.0443038947, 1164146.4553709486, 1149307.920190094, 1133822.8168803228, 1126327.2530856936, 1115811.272327108, 1051456.0047351508, 1036820.5989739599, 1001319.560687482, 1000602.6061722207, 983270.2700728562, 977522.7308936787, 915110.8765370755, 914320.7124984254],12.245523271397609
22,[423960.9134482841, 408364.5158736615, 401534.21990863676, 394997.03110514604, 372333.2638933453, 370966.1851416161, 342957.6268775571, 339828.1521408245, 338810.1521408245, 338278.1521408244, 331658.801824528, 317391.2507230344, 316986.2507230343, 314077.53353038605, 310540.6410308057],11.468312553197356
