6,[2106058.0, 1956121.0, 1768360.0, 1646243.0, 1520754.412684146, 1411492.5055561496, 1304831.6265885085, 1149275.7947042824, 1127855.1583501599, 1078621.3867241521, 1074496.2183800095, 1033496.239143673, 1025871.239143673, 1025850.239143673, 1022519.8846401561, 1004878.705100271],9.512673544723325
7,[5962452.0, 5644460.0, 5407096.0, 5159779.45302768, 4736222.453027678, 4465847.900161894, 4352159.198147627, 3855213.837696422, 3806281.2984006978, 3738737.4029864846, 3473192.7032113243, 3450608.0112065636, 3443390.333247888, 3410937.898449402, 3398769.0960155195, 3396132.7988553904],10.30353618960135
8,[5744545.0, 5435295.99000339, 5289628.284130734, 5159945.588562892, 5137051.6618303545, 4684245.928408157, 4636977.15849005, 4123728.1584900394, 4088950.596495391, 4046445.5964953904, 3780426.7867970252, 3708848.992078738, 3679622.271067312, 3665983.0020546666, 3527347.1107459445, 3522702.8597738566],11.313817654952429
9,[2379165.0, 2275416.0, 2171326.6052289526, 2026135.6971025749, 2000341.2230671751, 1980943.1041108742, 1961885.4951029748, 1919384.7624938888, 1904264.2516635144, 1687229.5875665396, 1674677.5875665392, 1528394.7689971884, 1483547.8071027873, 1457258.463680349, 1452461.231729705, 1443562.88768777],11.466212829103084
10,[1467015.0, 1396393.4266582383, 1318481.426658239, 1244131.250954983, 1159853.211647192, 1144480.4935086647, 1134609.8873543118, 1122418.2045143535, 1045998.8961937983, 1025495.4622557064, 954373.7830830583, 939439.185894203, 912546.4665600058, 829610.9383017287, 826579.3021978, 825178.3520627307],11.202264196462888
11,[1430532.0, 1349984.0, 1283175.641992594, 1207503.036894686, 1124659.8355624625, 1045308.953867092, 1031407.4236857678, 1021329.6477267102, 1012559.8521740879, 993355.756870641, 978586.4438640849, 912062.8229673296, 886046.3501788927, 883260.1752030683, 869887.4715586501, 867488.5561437766],11.175983301115831
12,[1616415.0, 1537458.1673989173, 1453092.167398916, 1370758.5596718856, 1276870.0905320449, 1266518.091076432, 1256749.8199856197, 1181229.4013325886, 1160438.2737921048, 1142764.990745913, 1110610.6677652656, 1032568.4607930218, 1003145.3282108126, 1001744.6627308648, 989120.4997022611, 980464.2659210259],11.384118963218667
13,[1538028.0, 1461288.0132297634, 1448535.820916006, 1438289.0805083197, 1348856.4323862588, 1324035.6486655113, 1249713.4231111456, 1176108.8142754287, 1158475.932073113, 1091063.9444476129, 1060939.305898746, 985717.5478601436, 982162.1477755115, 955722.4024461489, 954532.2596655863, 938109.1109394243],11.685729291459802
14,[1583611.0, 1508310.9567544227, 1422065.9567544211, 1409605.2122245256, 1331198.308266457, 1321558.9887285826, 1289840.0714852554, 1218717.0678245325, 1194127.0532679441, 1127167.7354395224, 1051414.944774382, 1021637.1280948331, 994131.8127355961, 993003.7485023916, 976638.0350783333, 962572.5062378546],11.537128741673845
15,[1926634.0, 1818512.0, 1732668.4999432503, 1638321.928097565, 1528708.7397115869, 1509353.0255517147, 1406901.9016292966, 1393309.585434969, 1300823.4518376768, 1290060.462351779, 1264796.3914703971, 1246259.514571134, 1211156.2653632972, 1103909.3597152221, 1085043.3821186603, 1082007.110350101],11.04466170267288
16,[2703126.0, 2584366.188355895, 2420902.865678497, 2289754.865678495, 2136153.732253634, 2012194.6444472838, 1989392.8630458496, 1970706.1894164223, 1955954.3869720334, 1923895.999691822, 1800408.879633715, 1779141.8671348111, 1622912.5657796327, 1619623.620213139, 1614175.1683340012, 1525047.4106569039],11.232547368038936
17,[4930680.0, 4674727.690526011, 4531917.375356572, 4431501.755856979, 4416319.901933794, 4373592.520546309, 4164665.617478596, 3900377.0779603035, 3596138.178310426, 3564574.0692422315, 3528788.4968891116, 3472856.5290527865, 3446778.096242793, 3144790.522852932, 3140853.269839436, 2966263.2858597045],11.653796852324263
18,[4203516.0, 3957939.2032520534, 3928185.3206794425, 3849863.425621011, 3738096.4537416813, 3685218.8438826464, 3649024.4672029708, 3461568.6011471353, 3182222.847048276, 3132384.8192711836, 3105647.8359198687, 2805070.132541703, 2689209.961088457, 2504190.8449324593, 2481258.6001412724, 2475981.310278278],11.47648848477701
19,[1842969.0, 1750311.0, 1667887.582263292, 1580879.582263291, 1536154.5648471348, 1533163.1695523069, 1519554.6404026758, 1498392.6322443874, 1384215.5523716146, 1337608.3380147717, 1242132.4381032768, 1237746.0962752937, 1124351.951542112, 1103454.5348215424, 1093844.5099296605, 1085195.5819688977],11.117005588921922
20,[1539811.0, 1409871.0, 1344404.9831834135, 1271646.9831834133, 1260320.7121688626, 1250981.8398826339, 1225392.571437983, 1208403.05053636, 1120831.2982095864, 1087019.0851811022, 1010576.9081177332, 998647.4848578883, 997138.5197445613, 980811.7971406768, 973004.2866357327, 887308.1690676773],11.38991780595332
21,[1237030.0, 1147421.0, 1090424.9452096839, 1080842.428755807, 1070392.4026085124, 1048674.2232384891, 1033900.3459652177, 1005120.228634876, 899664.3331374417, 891658.3331374415, 828755.6212130507, 815626.9755402672, 814402.6262425766, 744717.49868829, 743662.9844121857, 743143.9844121858],11.65417653953871
22,[438895.0, 408015.15601743717, 398518.9080344958, 354720.8684300777, 350174.5557542949, 347840.30845692125, 345901.30845692137, 336645.14582377375, 336632.14582377375, 326624.72022259556, 326265.12715481233, 311253.4938674432, 308013.81730534456, 291637.50576902134, 283875.2916356448, 282096.4405050207, 274167.2401401238],12.32712381770638
