6,[2106058.0, 1956121.0, 1680419.0, 1506563.0, 1386166.0, 1371487.9135737915, 1366386.9909275216, 1354056.9909275214, 1247735.6643293875, 1099325.398437706, 1078162.6304045091, 1028923.8368900617, 1024797.9970626584, 1024562.9970626584, 1016937.9970626585, 1016916.9970626585, 1013676.2238705648],9.969841449340652
7,[5962452.0, 5644460.0, 5009702.0, 4776373.0, 4529056.453027673, 4118963.4530276665, 3859566.9001618894, 3820316.4379217536, 3361880.3034281963, 3292036.467368438, 3227157.835554294, 3212604.265533457, 3190986.7189181526, 3186719.605664952, 3154386.429168665, 3144090.8615776347, 3142694.953457442],10.141021495602319
8,[5744545.0, 5435295.99000339, 4915327.990003391, 4772118.28413073, 4729988.99759409, 4686712.549679211, 4257887.336298795, 4210018.032123524, 3707442.50624574, 3657823.3712002006, 3615318.371200201, 3601847.011647858, 3531300.5266917683, 3503317.213999693, 3490801.4761296846, 3359461.1214107303, 3355459.422017914],11.369059579853774
9,[2379165.0, 2134070.0, 2031994.0, 1927904.605228949, 1906896.3288476504, 1897836.4020371486, 1872041.8618890867, 1854981.9370300763, 1836004.605696277, 1804999.5163378667, 1589876.5062810748, 1577324.5062810758, 1439728.7631358625, 1397144.7810490988, 1371451.3517510341, 1366670.330188616, 1358280.9966209624],11.622650128206544
10,[1467015.0, 1312646.0, 1242024.4266582385, 1229133.9021809255, 1152826.2665631466, 1082647.529600612, 1077838.7790500408, 1062466.0454092333, 1052644.219507573, 1041556.5349595867, 968772.8727777866, 948398.1552588947, 878107.498635348, 852849.5065912862, 775176.4451135257, 772160.7407904514, 770887.4050785765],11.422185423212163
11,[1430532.0, 1277500.0, 1198124.0, 1131315.6419925927, 1059736.0368946872, 1048106.2081517838, 971032.2772139875, 965992.0082225136, 952090.2234668111, 942850.6811379329, 934096.9561790011, 915030.2590898776, 849290.3199299629, 824916.6342375333, 822145.1559418292, 809046.9260583116, 806670.098844836],11.203317795010873
12,[1616415.0, 1537458.1673989173, 1370509.167398917, 1287653.1673989173, 1209972.5596718846, 1120782.0905320442, 1110446.8988279211, 1097470.5827770978, 1087619.272274943, 1065807.787576649, 1045016.6600361653, 1043222.6803635997, 965996.5270580387, 938175.4917566652, 936829.8305410795, 924409.1854051402, 916064.8371152965],11.321794833977204
13,[1538028.0, 1461288.0132297634, 1303694.013229764, 1290948.8296866794, 1280702.0892789941, 1196311.441156932, 1183362.0900953908, 1161286.0429516307, 1088148.0173868379, 1018615.11636323, 999424.4491225921, 997782.411485148, 923167.1577623769, 919829.0289747049, 894637.8010985861, 893505.6004060708, 877414.5040004482],11.63471421012224
14,[1583611.0, 1508310.9567544227, 1340931.95675442, 1256183.95675442, 1243741.068694207, 1231565.3280372506, 1158724.6763857827, 1149085.3568479079, 1120824.3953972312, 1100309.9708122795, 1030406.3629828444, 955638.4941455569, 953835.512357197, 927738.1725158745, 926673.4018176692, 910633.4623844386, 896967.9834712899],11.471482120597638
15,[1926634.0, 1716011.0, 1609927.0, 1524083.4999432466, 1508487.1103801024, 1420350.320705621, 1413685.8466180174, 1394329.3662890245, 1297531.0293169483, 1285301.007692499, 1194203.926575738, 1183463.2898235852, 1158369.6435468043, 1126029.3817738385, 1027518.6814126584, 1009269.6810316186, 1006248.7573044136],11.173530378030563
16,[2703126.0, 2403815.0, 2382906.9205832602, 2264097.418203429, 2110649.4251014814, 1981941.7507532896, 1971634.2801173034, 1852661.9432370665, 1829859.8666879882, 1814052.9862308332, 1799368.5790452203, 1767563.0006454764, 1646013.9887268122, 1503105.9426198413, 1500474.7050078865, 1495048.2646714055, 1484467.264671406],11.43050374086002
17,[4930680.0, 4439535.0, 4183582.6905260114, 4044151.375356579, 4009632.6215761574, 3979503.967933534, 3911962.0946859014, 3704796.339443571, 3685307.4931380097, 3384494.6972008194, 3353001.995998335, 3317254.396225172, 3262308.2097677607, 3237208.873089667, 2954617.777946631, 2951436.87838243, 2782136.714123876],11.625129897661928
18,[4203516.0, 3957939.2032520534, 3559274.203252056, 3529523.625442402, 3459587.983114427, 3350189.0112350956, 3313994.805936718, 3127286.79352751, 2853535.9956140355, 2827518.16669196, 2778987.907022703, 2752337.688628342, 2485109.2711082087, 2377557.0121070175, 2369084.4670252493, 2310927.678751185, 2305787.6731926654],11.196962415937072
19,[1842969.0, 1750311.0, 1667887.582263292, 1495480.5822632909, 1409361.582263291, 1368402.605519838, 1365449.6232642806, 1351841.094114648, 1239736.7740939, 1226439.5475232918, 1182370.5069511407, 1176697.2464034092, 1172672.773274616, 1065304.9336342071, 1044645.3981037762, 1035397.8156802976, 1026760.3298682423],11.059722036263189
20,[1539811.0, 1409871.0, 1344404.9831834135, 1271646.9831834133, 1134898.983183415, 1123572.7121688642, 1114258.3115558447, 1091334.318450395, 1004970.4617822907, 994433.4039312279, 962237.4827794364, 956986.4283118038, 945060.1106301829, 943586.844303959, 927493.7000054608, 920083.7178755724, 839080.4562049215],11.363882583909973
21,[1237030.0, 1147421.0, 1090424.9452096839, 1080842.428755807, 972333.8715763973, 961883.8454291029, 952281.9198426588, 932761.9890105114, 905134.0273102883, 801321.3255578039, 793315.3255578037, 789723.8802583532, 776608.3302766883, 775428.5107078108, 709143.7459047002, 708333.5619213266, 707814.5619213264],11.766431776706632
